time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
6.2200,1.5196,Human,1,drive_session_007,1.0000,0.5671,0.4010,0.5671,0.4100,0.0000,1.0000
6.3400,2.5177,Human,1,drive_session_007,1.0000,0.5671,0.4010,0.5671,0.4100,0.0000,1.0000
6.4600,3.2990,Human,1,drive_session_007,1.0000,0.5671,0.4010,1.0000,0.4100,0.0000,1.0000
6.5800,3.9105,Human,1,drive_session_007,1.0000,0.5671,0.4010,1.0000,0.4100,0.0000,1.0000
6.7000,4.3892,Human,1,drive_session_007,1.0000,0.5671,0.4010,1.0000,0.4100,0.0000,1.0000
6.8200,4.7639,Human,1,drive_session_007,1.0000,0.5671,0.4010,1.0000,0.4100,0.0000,1.0000
6.9400,5.0572,Human,1,drive_session_007,0.9695,0.5671,0.4010,1.0000,0.4100,0.0000,1.0000
7.0600,5.2868,Human,1,drive_session_007,0.9068,0.5671,0.4010,1.0000,0.4010,0.0000,1.0000
7.1800,5.4665,Human,1,drive_session_007,0.8404,0.5671,0.4010,1.0000,0.4010,0.0000,1.0000
7.3000,5.6072,Human,1,drive_session_007,0.7720,0.5671,0.4010,1.0000,1.0000,1.0000,1.0000
7.4200,5.5811,Human,1,drive_session_007,0.7348,0.8269,0.4709,1.0000,0.3993,1.0000,1.0000
7.5400,5.3951,Human,1,drive_session_007,0.7586,0.6923,0.5868,1.0000,0.3284,1.0000,1.0000
7.6600,5.4130,Human,1,drive_session_007,0.7571,0.6201,0.6864,1.0000,0.3377,0.0000,1.0000
7.7800,5.5960,Human,1,drive_session_007,0.6810,0.5579,0.7191,1.0000,0.4424,0.0000,1.0000
7.9000,5.7198,Human,1,drive_session_007,0.6058,0.4962,0.7596,1.0000,0.5459,0.0000,1.0000
8.0200,5.6285,Human,1,drive_session_007,0.6886,0.4614,0.6201,1.0000,0.4713,1.0000,1.0000
8.1400,5.4002,Human,1,drive_session_007,0.9842,0.4779,0.5146,1.0000,0.4006,1.0000,1.0000
8.2600,5.7495,Human,1,drive_session_007,0.9720,0.4399,0.4574,1.0000,0.4389,0.0000,1.0000
8.3800,5.8342,Human,1,drive_session_007,0.8692,0.3934,0.4090,1.0000,0.4873,0.0000,1.0000
8.5000,6.1785,Human,1,drive_session_007,0.7952,0.3599,0.3742,1.0000,0.5221,0.0000,1.0000
8.6200,5.9556,Human,1,drive_session_007,1.0000,0.3972,0.3467,0.8985,0.4863,1.0000,1.0000
8.7400,5.7917,Human,1,drive_session_007,1.0000,0.4619,0.3472,0.7024,0.4654,0.0000,1.0000
8.8600,5.4886,Human,1,drive_session_007,1.0000,0.4342,0.3264,0.7339,0.4863,0.0000,1.0000
8.9800,6.7452,Human,1,drive_session_007,1.0000,0.4131,0.3105,0.7578,0.5021,0.0000,1.0000
9.1000,6.1619,Human,1,drive_session_007,1.0000,0.3980,0.2992,1.0000,0.5134,0.0000,1.0000
9.2200,6.1534,Human,1,drive_session_007,1.0000,0.3864,0.2904,1.0000,0.5222,0.0000,1.0000
9.3400,6.1456,Human,1,drive_session_007,1.0000,0.3777,0.2839,1.0000,0.5287,0.0000,1.0000
9.4600,6.1390,Human,1,drive_session_007,1.0000,0.3699,0.2780,1.0000,0.5346,0.0000,1.0000
9.5800,6.1337,Human,1,drive_session_007,1.0000,0.3613,0.2715,1.0000,0.5411,0.0000,1.0000
9.7000,6.1295,Human,1,drive_session_007,1.0000,0.3542,0.2662,1.0000,0.5464,0.0000,1.0000
9.8200,6.1261,Human,1,drive_session_007,0.9663,0.3475,0.2612,1.0000,0.5514,0.0000,1.0000
9.9400,6.1235,Human,1,drive_session_007,0.8980,0.3414,0.2566,1.0000,0.5820,0.0000,1.0000
10.0600,6.1214,Human,1,drive_session_007,0.8232,0.3350,0.2518,1.0000,1.0000,0.0000,1.0000
10.1800,6.1198,Human,1,drive_session_007,0.7476,0.3285,0.2469,0.9946,1.0000,0.0000,1.0000
10.3000,6.1186,Human,1,drive_session_007,0.6742,0.3223,0.2422,0.8970,1.0000,1.0000,1.0000
10.4200,5.9686,Human,1,drive_session_007,0.6150,0.5205,0.2978,1.0000,1.0000,1.0000,1.0000
10.5400,5.6722,Human,1,drive_session_007,0.6056,0.5825,0.3837,1.0000,0.6177,1.0000,1.0000
10.6600,5.3586,Human,1,drive_session_007,0.6577,0.5090,0.5277,1.0000,0.5586,1.0000,1.0000
10.7800,5.0835,Human,1,drive_session_007,0.8236,0.4901,0.5984,1.0000,0.5825,1.0000,1.0000
10.9000,4.8648,Human,1,drive_session_007,1.0000,0.5170,0.5103,0.8474,0.7535,1.0000,1.0000
11.0200,4.9010,Human,1,drive_session_007,1.0000,0.5572,0.4778,0.6310,1.0000,0.0000,1.0000
11.1400,5.2261,Human,1,drive_session_007,1.0000,0.5178,0.4440,0.6917,0.7948,0.0000,1.0000
11.2600,5.4405,Human,1,drive_session_007,1.0000,0.4868,0.4174,0.7394,0.5078,0.0000,1.0000
11.3800,5.5945,Human,1,drive_session_007,1.0000,0.4614,0.3956,0.7787,0.4335,0.0000,1.0000
11.5000,5.7101,Human,1,drive_session_007,1.0000,0.4391,0.3765,0.8129,0.4526,0.0000,1.0000
11.6200,6.3080,Human,1,drive_session_007,1.0000,0.4178,0.3582,0.8458,0.4709,0.0000,1.0000
11.7400,6.0610,Human,1,drive_session_007,1.0000,0.3978,0.3411,0.8765,0.4880,0.0000,1.0000
11.8600,6.0725,Human,1,drive_session_007,1.0000,0.3803,0.3260,0.9036,0.5031,0.0000,1.0000
11.9800,6.0816,Human,1,drive_session_007,1.0000,0.3596,0.3083,0.9189,0.5208,0.0000,1.0000
12.1000,6.4671,Human,1,drive_session_007,1.0000,0.3418,0.2931,1.0000,0.5361,0.0000,1.0000
12.2200,6.9211,Human,1,drive_session_007,1.0000,0.3218,0.2759,1.0000,0.5532,0.0000,1.0000
12.3400,6.4964,Human,1,drive_session_007,1.0000,0.3012,0.2583,1.0000,0.5708,0.0000,1.0000
12.4600,6.4127,Human,1,drive_session_007,1.0000,0.2814,0.2413,1.0000,0.5879,0.0000,1.0000
12.5800,6.3478,Human,1,drive_session_007,1.0000,0.2622,0.2248,1.0000,0.6043,0.0000,1.0000
12.7000,6.2912,Human,1,drive_session_007,1.0000,0.2600,0.2150,1.0000,0.6075,1.0000,1.0000
