epoch,error
1,0.07922733
2,0.07768927
3,0.07769299
4,0.07770813
5,0.07772568
6,0.07773918
7,0.07774169
8,0.07772537
9,0.07768045
10,0.07759537
11,0.07745638
12,0.07725292
13,0.07699125
14,0.07671516
15,0.07651199
16,0.0764626
17,0.076564
18,0.07673497
19,0.07689475
20,0.07700957
21,0.07708148
22,0.07712375
23,0.07714958
24,0.07716686
25,0.07718025
26,0.07719178
27,0.07720219
28,0.07721194
29,0.07722102
30,0.0772294
31,0.07723702
32,0.07724383
33,0.07724995
34,0.07725535
35,0.0772601
36,0.0772641
37,0.07726766
38,0.07727055
39,0.07727289
40,0.07727481
41,0.07727619
42,0.07727723
43,0.07727778
44,0.07727803
45,0.07727788
46,0.07727737
47,0.07727658
48,0.07727525
49,0.0772737
50,0.07727168
51,0.07726946
52,0.07726695
53,0.07726384
54,0.07726055
55,0.0772567
56,0.07725246
57,0.07724767
58,0.07724258
59,0.07723674
60,0.07723039
61,0.07722328
62,0.07721546
63,0.0772066
64,0.07719683
65,0.07718588
66,0.07717331
67,0.07715925
68,0.07714334
69,0.07712486
70,0.07710359
71,0.0770786
72,0.07704931
73,0.07701456
74,0.07697275
75,0.07692194
76,0.07685969
77,0.07678209
78,0.07668462
79,0.07656042
80,0.07640008
81,0.07619004
82,0.07591247
83,0.07555061
84,0.07511128
85,0.07464252
86,0.07420637
87,0.07383683
88,0.07353547
89,0.0732909
90,0.07309059
91,0.07292437
92,0.07278422
93,0.07266435
94,0.07256136
95,0.07247356
96,0.07240073
97,0.07234274
98,0.07230029
99,0.07227322
100,0.07226067
101,0.07226112
102,0.07227207
103,0.07229088
104,0.07231494
105,0.07234187
106,0.07236965
107,0.07239649
108,0.07242171
109,0.07244449
110,0.07246502
111,0.07248347
112,0.07249933
113,0.07251316
114,0.07252517
115,0.07253605
116,0.07254551
117,0.07255431
118,0.07256221
119,0.07256927
120,0.07257576
121,0.07258194
122,0.0725876
123,0.07259259
124,0.07259764
125,0.07260203
126,0.07260609
127,0.07261004
128,0.07261352
129,0.07261655
130,0.07261965
131,0.07262252
132,0.07262503
133,0.07262732
134,0.07262937
135,0.07263155
136,0.07263352
137,0.07263529
138,0.07263716
139,0.07263896
140,0.07264068
141,0.07264248
142,0.07264436
143,0.07264603
144,0.07264786
145,0.07264984
146,0.07265209
147,0.07265414
148,0.07265633
149,0.07265891
150,0.07266135
151,0.07266402
152,0.07266689
153,0.07266975
154,0.07267271
155,0.07267602
156,0.07267949
157,0.07268289
158,0.07268652
159,0.07269035
160,0.0726943
161,0.07269832
162,0.07270264
163,0.07270688
164,0.0727113
165,0.07271601
166,0.07272081
167,0.07272564
168,0.0727307
169,0.07273582
170,0.07274114
171,0.07274653
172,0.07275216
173,0.07275777
174,0.07276355
175,0.07276955
176,0.07277558
177,0.07278173
178,0.07278802
179,0.07279439
180,0.07280092
181,0.07280743
182,0.07281432
183,0.0728211
184,0.07282812
185,0.07283525
186,0.07284233
187,0.07284966
188,0.0728571
189,0.07286446
190,0.07287195
191,0.07287968
192,0.07288744
193,0.07289516
194,0.07290299
195,0.07291099
196,0.07291907
197,0.07292707
198,0.07293525
199,0.07294341
200,0.07295163
201,0.07295998
202,0.07296836
203,0.07297678
204,0.07298507
205,0.07299333
206,0.07300173
207,0.07301043
208,0.07301886
209,0.07302731
210,0.07303586
211,0.07304429
212,0.07305284
213,0.07306116
214,0.07306971
215,0.07307815
216,0.07308652
217,0.07309485
218,0.07310322
219,0.07311157
220,0.07311989
221,0.0731281
222,0.07313637
223,0.0731445
224,0.0731525
225,0.07316067
226,0.0731687
227,0.07317671
228,0.07318455
229,0.07319221
230,0.0732001
231,0.07320778
232,0.07321545
233,0.07322304
234,0.07323048
235,0.07323778
236,0.07324515
237,0.07325252
238,0.07325951
239,0.07326658
240,0.07327364
241,0.07328054
242,0.07328735
243,0.07329407
244,0.07330067
245,0.07330722
246,0.07331354
247,0.07331986
248,0.07332614
249,0.07333227
250,0.07333821
251,0.07334412
252,0.07334995
253,0.07335562
254,0.0733612
255,0.07336656
256,0.07337177
257,0.07337713
258,0.07338206
259,0.07338708
260,0.07339197
261,0.07339671
262,0.07340114
263,0.07340578
264,0.07341003
265,0.07341417
266,0.07341816
267,0.07342211
268,0.0734258
269,0.07342952
270,0.07343307
271,0.07343633
272,0.0734396
273,0.0734426
274,0.0734456
275,0.07344832
276,0.07345112
277,0.07345363
278,0.07345611
279,0.0734582
280,0.07346042
281,0.07346236
282,0.07346426
283,0.07346594
284,0.07346746
285,0.07346898
286,0.07347024
287,0.07347148
288,0.07347251
289,0.07347348
290,0.07347423
291,0.07347505
292,0.07347549
293,0.07347589
294,0.0734762
295,0.07347646
296,0.07347654
297,0.07347649
298,0.07347634
299,0.07347615
300,0.07347568
